priority,path,line,english,recommendation,note
"P1","config/konkrete/locals/en_us.local","1-4;6;8-9;11;13-16;18-19","Width; Height; On; Off; Done; Confirm; Cancel; Accept; BACK; Choose File; Choose; Supported file types:; Enabled; Disabled","Ширина; Высота; Вкл.; Выкл.; Готово; Подтвердить; Отмена; Принять; НАЗАД; Выберите файл; Выбрать; Поддерживаемые типы файлов:; Включено; Отключено","Создать отдельный ru_ru.local; en_us.local не менять."
"P1","config/paxi/resourcepacks/IndustrialFrontier-Core/pack.mcmeta","4","bilingual interface, quest guide and M9 visual system","двуязычный интерфейс, книга заданий и визуальная система M9","Описание показывается в списке наборов ресурсов; имя сборки оставить без изменений."
"P1","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","238","datapack/resource pack","пакет данных/набор ресурсов","Смешанный английский термин в русском тексте."
"P1","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","246","datapack","пакет данных","Смешанный английский термин в русском тексте."
"P1","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","249","checkmark","галочка","Смешанный английский термин в русском тексте."
"P1","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","1121;1122;1153;1166","Pack-тег; pack-тега","тег сборки; тега сборки","Привести формы термина к естественному русскому."
"P1","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","1128","Anti-grind; RNG","защита от рутины; случайность","Раскрыть англоязычный термин и сокращение в пользовательском тексте."
"P1","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","1182","baseline","базовая версия","Смешанный английский термин в русском тексте."
"P1","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","1184","worldgen","генерация мира","Смешанный английский термин в русском тексте."
"P1","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","1222","datapack","пакет данных","Имя перед термином оставить без изменений."
"P1","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","1225","anti-grind","защита от рутины","Смешанный английский термин в русском тексте."
"P1","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","1230","basin","чан","Префикс поискового запроса оставить без изменений; английское имя предмета при русском интерфейсе может не находиться."
"P1","config/easy_npc/user_defined_npcs.json","5;9;13;17","Villager NPC; An example NPC based on villager; Zombie NPC; An example NPC based on zombie","НИП-житель; Пример НИП на основе жителя; НИП-зомби; Пример НИП на основе зомби","Пользовательские названия и описания примеров в редакторе НИП."
"P2","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","243;1136","recipe ID","ID рецепта","Перевести определяющее слово, служебное сокращение оставить."
"P2","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","255;256","quest ID","ID задания","Перевести определяющее слово, служебное сокращение оставить."
"P2","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","255;262;1245","scoreboard; Scoreboard","система счёта","Команды и служебные идентификаторы не менять."
"P2","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","256;258","Build ID","ID сборки","Перевести определяющее слово, служебное сокращение оставить."
"P2","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","256","team UUID","UUID команды","Перевести определяющее слово, служебное сокращение оставить."
"P2","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/industrial_frontier/lang/ru_ru.json","848","Multi Builder Tool","инструмент мультистроителя","Согласовать перевод с локализацией самого предмета."
"P2","config/hbm/hbmFluidTypes.json","3","Custom Fluid Demo","Демонстрационная жидкость","Если запись активна; иначе отдельно решить судьбу демонстрационного образца."
"P3","kubejs/data/industrial_frontier/preset/*_envoy.npc.snbt","1","Faction","Фракция","6 файлов; категория браузера пресетов."
"P3","kubejs/data/industrial_frontier/preset/*_squad_{early,mid,late}.npc.snbt","1","Faction Squad","Отряд фракции","18 файлов; категория браузера пресетов."
