"status","namespace","key","english","source","ru_source"
"missing_ru","codechickenlib","ccl.energy_bar.rf","RF","mods/CodeChickenLib-1.20.1-4.4.0.528-universal.jar!assets/codechickenlib/lang/en_us.json",""
"missing_ru","codechickenlib","ccl.fluid_tank.mb","mB","mods/CodeChickenLib-1.20.1-4.4.0.528-universal.jar!assets/codechickenlib/lang/en_us.json",""
"missing_ru","create_central_kitchen","datapack.create_central_kitchen.corn_delight","Create: Central Kitchen - Corn Delight","mods/create_central_kitchen-1.20.1-for-create-6.0.8-1.5.0.jar!assets/create_central_kitchen/lang/en_us.json",""
"missing_ru","create_central_kitchen","datapack.create_central_kitchen.ends_delight","Create: Central Kitchen - End's Delight","mods/create_central_kitchen-1.20.1-for-create-6.0.8-1.5.0.jar!assets/create_central_kitchen/lang/en_us.json",""
"missing_ru","create_central_kitchen","datapack.create_central_kitchen.overweight_farming","Create: Central Kitchen - Overweight Farming","mods/create_central_kitchen-1.20.1-for-create-6.0.8-1.5.0.jar!assets/create_central_kitchen/lang/en_us.json",""
"missing_ru","createbigcannons","block.createbigcannons.autocannon_ammo_container.tooltip.main_ammo","x%1$s %2$s","mods/createbigcannons-5.11.4-mc.1.20.1-forge.jar!assets/createbigcannons/lang/en_us.json",""
"missing_ru","createbigcannons","block.createbigcannons.smoke_shell.tooltip","SMOKE SHELL","mods/createbigcannons-5.11.4-mc.1.20.1-forge.jar!assets/createbigcannons/lang/en_us.json",""
"missing_ru","cristellib","cristellib.nameAndSource","%s (%s)","mods/cristellib-1.1.6-forge.jar!assets/cristellib/lang/en_us.json",""
"missing_ru","hbm_ntm_rebirth","block.hbm_ntm_rebirth.block_c4","Block of C-4","mods/hbm_ntm_rebirth-0.4.1beta.jar!assets/hbm_ntm_rebirth/lang/en_us.json",""
"missing_ru","hbm_ntm_rebirth","block.hbm_ntm_rebirth.block_semtex","Block of Semtex","mods/hbm_ntm_rebirth-0.4.1beta.jar!assets/hbm_ntm_rebirth/lang/en_us.json",""
"missing_ru","hbm_ntm_rebirth","block.hbm_ntm_rebirth.c4","C-4","mods/hbm_ntm_rebirth-0.4.1beta.jar!assets/hbm_ntm_rebirth/lang/en_us.json",""
"missing_ru","hbm_ntm_rebirth","block.hbm_ntm_rebirth.charge_c4","Demolition Charge","mods/hbm_ntm_rebirth-0.4.1beta.jar!assets/hbm_ntm_rebirth/lang/en_us.json",""
"missing_ru","hbm_ntm_rebirth","block.hbm_ntm_rebirth.charge_miner","Timed Mining Charge","mods/hbm_ntm_rebirth-0.4.1beta.jar!assets/hbm_ntm_rebirth/lang/en_us.json",""
"missing_ru","hbm_ntm_rebirth","block.hbm_ntm_rebirth.charge_semtex","Semtex Mining Charge","mods/hbm_ntm_rebirth-0.4.1beta.jar!assets/hbm_ntm_rebirth/lang/en_us.json",""
"missing_ru","hbm_ntm_rebirth","block.hbm_ntm_rebirth.det_charge","Explosive Charge","mods/hbm_ntm_rebirth-0.4.1beta.jar!assets/hbm_ntm_rebirth/lang/en_us.json",""
"missing_ru","hbm_ntm_rebirth","block.hbm_ntm_rebirth.det_cord","Det Cord","mods/hbm_ntm_rebirth-0.4.1beta.jar!assets/hbm_ntm_rebirth/lang/en_us.json",""
"missing_ru","hbm_ntm_rebirth","block.hbm_ntm_rebirth.det_nuke","Nuclear Charge","mods/hbm_ntm_rebirth-0.4.1beta.jar!assets/hbm_ntm_rebirth/lang/en_us.json",""
"missing_ru","hbm_ntm_rebirth","block.hbm_ntm_rebirth.dynamite","Dynamite","mods/hbm_ntm_rebirth-0.4.1beta.jar!assets/hbm_ntm_rebirth/lang/en_us.json",""
"missing_ru","hbm_ntm_rebirth","block.hbm_ntm_rebirth.machine_lpw2","LPW2","mods/hbm_ntm_rebirth-0.4.1beta.jar!assets/hbm_ntm_rebirth/lang/en_us.json",""
