"classification","status","namespace","key","english","source","ru_source"
"mod_name","ru_equals_english","ae2","gui.ae2.CreativeTab","Applied Energistics 2","mods/appliedenergistics2-forge-15.4.10.jar!assets/ae2/lang/en_us.json","mods/appliedenergistics2-forge-15.4.10.jar!assets/ae2/lang/ru_ru.json"
"mod_name","ru_equals_english","ae2","key.ae2.category","Applied Energistics 2","mods/appliedenergistics2-forge-15.4.10.jar!assets/ae2/lang/en_us.json","mods/appliedenergistics2-forge-15.4.10.jar!assets/ae2/lang/ru_ru.json"
"mod_name","ru_equals_english","balm","config.jade.plugin_balm.jade","Balm","mods/balm-forge-1.20.1-7.3.42.jar!assets/balm/lang/en_us.json","mods/balm-forge-1.20.1-7.3.42.jar!assets/balm/lang/ru_ru.json"
"mod_name","ru_equals_english","carryon","key.carry.category","Carry On","mods/carryon-forge-1.20.1-2.1.2.7.jar!assets/carryon/lang/en_us.json","mods/carryon-forge-1.20.1-2.1.2.7.jar!assets/carryon/lang/ru_ru.json"
"mod_name","ru_equals_english","create","create.ponder.mod_name","Create","mods/create-1.20.1-6.0.8.jar!assets/create/lang/en_us.json","mods/create-1.20.1-6.0.8.jar!assets/create/lang/ru_ru.json"
"mod_name","ru_equals_english","create","itemGroup.create.base","Create","mods/create-1.20.1-6.0.8.jar!assets/create/lang/en_us.json","mods/create-1.20.1-6.0.8.jar!assets/create/lang/ru_ru.json"
"mod_name","ru_equals_english","effortlessbuilding","key.effortlessbuilding.category","Effortless Building","mods/effortlessbuilding-1.20.1-3.11.jar!assets/effortlessbuilding/lang/en_us.json","mods/effortlessbuilding-1.20.1-3.11.jar!assets/effortlessbuilding/lang/ru_ru.json"
"mod_name","ru_equals_english","ftbquests","itemGroup.ftbquests.ftbquests","FTB Quests","mods/ftb-quests-forge-2001.4.22.jar!assets/ftbquests/lang/en_us.json","mods/ftb-quests-forge-2001.4.22.jar!assets/ftbquests/lang/ru_ru.json"
"mod_name","ru_equals_english","ftbquests","key.categories.ftbquests","FTB Quests","mods/ftb-quests-forge-2001.4.22.jar!assets/ftbquests/lang/en_us.json","mods/ftb-quests-forge-2001.4.22.jar!assets/ftbquests/lang/ru_ru.json"
"mod_name","ru_equals_english","ftbteams","key.categories.ftbteams","FTB Teams","mods/ftb-teams-forge-2001.3.2.jar!assets/ftbteams/lang/en_us.json","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/ftbteams/lang/ru_ru.json"
"mod_name","missing_ru","gcyr","key.categories.gcyr","Gregicality Rocketry","mods/gcyr-1.20.1-0.2.9.jar!assets/gcyr/lang/en_us.json",""
"mod_name","ru_equals_english","gtceu","gtceu.ownership.name.ftb","FTB Teams","mods/gtceu-1.20.1-7.5.3.jar!assets/gtceu/lang/en_us.json","mods/gtceu-1.20.1-7.5.3.jar!assets/gtceu/lang/ru_ru.json"
"mod_name","missing_ru","gtnn","itemGroup.gtnn.main","GT--","mods/gtnn-1.20.1-1.3.9.jar!assets/gtnn/lang/en_us.json",""
"mod_name","ru_equals_english","guideme","key.guideme.category","GuideME","mods/guideme-20.1.15.jar!assets/guideme/lang/en_us.json","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/guideme/lang/ru_ru.json"
"mod_name","ru_equals_english","handcrafted","itemGroup.handcrafted.main","Handcrafted","mods/handcrafted-forge-1.20.1-3.0.6.jar!assets/handcrafted/lang/en_us.json","mods/handcrafted-forge-1.20.1-3.0.6.jar!assets/handcrafted/lang/ru_ru.json"
"mod_name","missing_ru","immersiveengineering","advancement.immersiveengineering.main_root","Immersive Engineering","mods/ImmersiveEngineering-1.20.1-10.2.0-183.jar!assets/immersiveengineering/lang/en_us.json",""
"mod_name","ru_equals_english","immersiveengineering","itemGroup.immersiveengineering","Immersive Engineering","mods/ImmersiveEngineering-1.20.1-10.2.0-183.jar!assets/immersiveengineering/lang/en_us.json","mods/ImmersiveEngineering-1.20.1-10.2.0-183.jar!assets/immersiveengineering/lang/ru_ru.json"
"mod_name","ru_equals_english","immersiveengineering","key.categories.immersiveengineering","Immersive Engineering","mods/ImmersiveEngineering-1.20.1-10.2.0-183.jar!assets/immersiveengineering/lang/en_us.json","mods/ImmersiveEngineering-1.20.1-10.2.0-183.jar!assets/immersiveengineering/lang/ru_ru.json"
"mod_name","ru_equals_english","immersivepetroleum","advancement.immersivepetroleum.root","Immersive Petroleum","mods/ImmersivePetroleum-1.20.1-4.3.1-36b.jar!assets/immersivepetroleum/lang/en_us.json","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/immersivepetroleum/lang/ru_ru.json"
"mod_name","ru_equals_english","immersivepetroleum","itemGroup.immersivepetroleum","Immersive Petroleum","mods/ImmersivePetroleum-1.20.1-4.3.1-36b.jar!assets/immersivepetroleum/lang/en_us.json","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/immersivepetroleum/lang/ru_ru.json"
"mod_name","ru_equals_english","immersivepetroleum","key.categories.immersivepetroleum","Immersive Petroleum","mods/ImmersivePetroleum-1.20.1-4.3.1-36b.jar!assets/immersivepetroleum/lang/en_us.json","config/paxi/resourcepacks/IndustrialFrontier-Core/assets/immersivepetroleum/lang/ru_ru.json"
"mod_name","missing_ru","inventoryessentials","config.inventoryessentials.title","Inventory Essentials","mods/inventoryessentials-forge-1.20.1-8.2.18.jar!assets/inventoryessentials/lang/en_us.json",""
"mod_name","missing_ru","inventoryessentials","key.categories.inventoryessentials","Inventory Essentials","mods/inventoryessentials-forge-1.20.1-8.2.18.jar!assets/inventoryessentials/lang/en_us.json",""
"mod_name","ru_equals_english","jade","modmenu.nameTranslation.jade","Jade","mods/Jade-1.20.1-Forge-11.13.3.jar!assets/jade/lang/en_us.json","mods/Jade-1.20.1-Forge-11.13.3.jar!assets/jade/lang/ru_ru.json"
"mod_name","ru_equals_english","minecolonies","advancements.minecolonies.root.title","MineColonies","mods/minecolonies-1.20.1-1.1.1274.jar!assets/minecolonies/lang/en_us.json","mods/minecolonies-1.20.1-1.1.1274.jar!assets/minecolonies/lang/ru_ru.json"
"mod_name","ru_equals_english","minecolonies","itemGroup.minecolonies","MineColonies","mods/minecolonies-1.20.1-1.1.1274.jar!assets/minecolonies/lang/en_us.json","mods/minecolonies-1.20.1-1.1.1274.jar!assets/minecolonies/lang/ru_ru.json"
"mod_name","ru_equals_english","minecolonies","key.minecolonies.categories.general","MineColonies","mods/minecolonies-1.20.1-1.1.1274.jar!assets/minecolonies/lang/en_us.json","mods/minecolonies-1.20.1-1.1.1274.jar!assets/minecolonies/lang/ru_ru.json"
"mod_name","ru_equals_english","mtr","gui.mtr.brand","Minecraft Transit Railway","mods/MTR-forge-4.0.5+1.20.1.jar!assets/mtr/lang/en_us.json","mods/MTR-forge-4.0.5+1.20.1.jar!assets/mtr/lang/ru_ru.json"
