corpus,status,source_path,peer_path,english_text,word_count,note
Advanced Peripherals Patchouli,missing_ru_file,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/en_us/categories/items.json,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/ru_ru/categories/items.json,"Items
Advanced Peripherals adds some items that are used in combination with the peripherals, or as crafting ingredients to enhance turtles.",21,"Player-visible Patchouli category, entry, or template; translate as a whole in context."
Advanced Peripherals Patchouli,missing_ru_file,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/en_us/categories/metaphysics.json,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/ru_ru/categories/metaphysics.json,"Metaphysics
What is the origin of the Universe? What is its first cause? Is its existence necessary? Is I am real?",21,"Player-visible Patchouli category, entry, or template; translate as a whole in context."
Advanced Peripherals Patchouli,missing_ru_file,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/en_us/categories/peripherals.json,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/ru_ru/categories/peripherals.json,"Peripherals
All the peripherals added by this mod.$(p)Use them to interact with other mods, players, the world and the game chat.",23,"Player-visible Patchouli category, entry, or template; translate as a whole in context."
Advanced Peripherals Patchouli,missing_ru_file,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/en_us/entries/items/chunk_controller.json,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/ru_ru/entries/items/chunk_controller.json,"Chunk Controller
The Chunk Controller is a crafting ingredient for the Chunky Turtle.$(p)Combine with a turtle or advanced turtle to make it chunk-loading!$(p)For the full documentation please see the $(9)$(l:https://docs.intelligence-modding.de/items/chunk_controller/)official wiki page$(/l)$()!",47,"Player-visible Patchouli category, entry, or template; translate as a whole in context."
Advanced Peripherals Patchouli,missing_ru_file,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/en_us/entries/items/computer_tool.json,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/ru_ru/entries/items/computer_tool.json,"Computer Tool
The Computer Tool is a tool to open GUI's from our blocks. Currently, the Computer Tool is useless, it's just a wonderful item.$(p)For the full documentation please see the $(9)$(l:https://docs.intelligence-modding.de/items/computer_tool/)official wiki page$(/l)$()!",46,"Player-visible Patchouli category, entry, or template; translate as a whole in context."
Advanced Peripherals Patchouli,missing_ru_file,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/en_us/entries/items/memory_card.json,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/ru_ru/entries/items/memory_card.json,"Memory Card
The $(9)$(l:items/ar_goggles)AR Goggles$(/l)$() can be used in combination with the $(9)$(l:peripherals/inventory_manager)Inventory Manager$(/l)$() to communicate with the player's inventory.$(p)Right click with the Memory Card in hand to assign it to yourself.$(p)For the full documentation please see the $(9)$(l:https://docs.intelligence-modding.de/items/ar_goggles/)official wiki page$(/l)$()!",65,"Player-visible Patchouli category, entry, or template; translate as a whole in context."
Advanced Peripherals Patchouli,missing_ru_file,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/en_us/entries/items/pocket_computers.json,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/ru_ru/entries/items/pocket_computers.json,"Pocket Computer Addons
We provide Pocket Computer upgrades for the following peripherals:$(li)$(9)$(l:peripherals/environment_detector)Environment Detector$(/l)$()$(li)$(9)$(l:peripherals/player_detector)Player Detector$(/l)$()$(li)$(9)$(l:peripherals/chat_box)Chat Box$(/l)$()$(p)For the full documentation please see the $(9)$(l:https://docs.intelligence-modding.de/items/pocket_computer/)official wiki page$(/l)$()!
Simply combine these with a pocket computer to add the peripheral to it. Note that you can't use the associated events.",78,"Player-visible Patchouli category, entry, or template; translate as a whole in context."
Advanced Peripherals Patchouli,missing_ru_file,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/en_us/entries/metaphysics/end_automata_core.json,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/ru_ru/entries/metaphysics/end_automata_core.json,"End automata core
End automata core
After consuming 10 endermans, weak automata core will be transformed to end automata core!$(p)In addition to be more powerful weak automata core variant, seems, this soul also provide some limited teleportation abilities for turtle itself.
In additions to weak automata core abilities, this soul also allow limited world-bound teleportation. Seems, you need to store points and then teleport to them!$(p)But be aware, any stored points will be lost after turtle is broken.",82,"Player-visible Patchouli category, entry, or template; translate as a whole in context."
Advanced Peripherals Patchouli,missing_ru_file,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/en_us/entries/metaphysics/fuel_consuming.json,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/ru_ru/entries/metaphysics/fuel_consuming.json,"Cooldowns and fuel
All world changing operations will consume turtle fuel (of course, if you not disable fuel usage in CC:Tweaked configuration).$(p)Also, most of this operations have cooldowns, so you should consider this in your code. Hopefully, every active cooldown can be recived via peripheral methods.
You think, that cooldowns are too big? This is when fuel consuming rate come to help!$(p)Bigger fuel consuming rate will reduce cooldown, but obviously increate fuel consumption. For example, if click operation required 1 fuel point for perform and will have 5 seconds cooldown, with fuel consumption 2 you can perform click operation one in 2.5 seconds, but in cost of 2 fuel point.
However, fuel consumption rate is not so simple! Every automata core has max fuel consumption limitation, that can be retrieved via $(l)getConfiguration$() method.$(p)Also, fuel point will grow faster, than cooldown drops. Fuel consumption 3 will required 4 fuel points, fuel consumption 4 will required fuel points, etc.",157,"Player-visible Patchouli category, entry, or template; translate as a whole in context."
Advanced Peripherals Patchouli,missing_ru_file,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/en_us/entries/metaphysics/husbandry_automata_core.json,mods/AdvancedPeripherals-1.20.1-0.7.48r.jar!/assets/advancedperipherals/patchouli_books/manual/ru_ru/entries/metaphysics/husbandry_automata_core.json,"Husbandry automata core
Husbandry automata core
After consuming 3 chickens, 3 cows, 3 sheeps, weak automata core will be transformed to husbandry automata core!$(p)In addition to be more powerful weak automata core variant, seems, this soul also provide abilities to interact with animals!
In additions to weak automata core abilities, this core also allow to interact with animals and even transfer them inside!$(p)But be aware, any stored animal will be lost after turtle is broken.",76,"Player-visible Patchouli category, entry, or template; translate as a whole in context."
